topic,token_id,token,similarity
technology,38361,ighters,0.1569
technology,42237,Ġglands,0.1674
technology,33794,ometers,0.1783
technology,34351,Ġanimosity,0.1994
sports,45750,endium,0.1847
history,38265,progress,0.2285
sports,34277,ĠSurprisingly,0.1914
sports,46019,Ġpersecut,0.1793
technology,42834,apor,0.1731
technology,44176,ĠUID,0.1953
sports,46707,ync,0.1546
politics,36441,ĠLAW,0.1686
technology,44525,drivers,0.2228
technology,31854,innie,0.1751
sports,29115,Ġroared,0.1657
sports,45859,igham,0.1897
politics,32148,etics,0.1954
science,40130,ĠKaf,0.1546
sports,19844,rosse,0.2212
technology,44822,imentary,0.1875
politics,31596,Ġbourbon,0.1633
science,18554,die,0.1512
technology,47172,ĠShattered,0.1833
technology,39749,ubes,0.1808
technology,46349,float,0.199
sports,41828,ocrine,0.1875
politics,21754,Ġeyeing,0.1534
politics,47766,RPG,0.1899
history,45961,ĠPles,0.1876
technology,43874,azel,0.1552
science,47806,Response,0.172
history,43476,âĢĶâĢĶâĢĶâĢĶ,0.1693
politics,33523,otor,0.1703
sports,45823,ropolitan,0.182
technology,44649,ĠEnh,0.2241
sports,30458,fledged,0.182
politics,46075,avez,0.1906
technology,31667,hetically,0.1707
politics,45648,Ġprophe,0.1824
politics,35969,racist,0.2421
science,20017,serving,0.2053
technology,45425,ĠDRM,0.1635
technology,41978,ĠFemin,0.1786
technology,50128,Ĕ,0.2569
sports,33909,itness,0.1852
technology,47350,Â¯,0.2086
technology,27811,cester,0.1799
politics,31759,luence,0.1762
technology,44383,ĠBIT,0.1603
politics,30571,iership,0.2054
