token_id,token,similarity,type
265,Ġbusiness,0.1608,content
426,Ġgames,0.158,content
433,Ġmedia,0.1861,content
539,Ġindustry,0.1593,content
930,Ġmusic,0.3102,content
1012,ĠTV,0.181,content
1265,Ġeducation,0.2083,content
1531,Ġfun,0.1938,content
1569,Ġmovie,0.2203,content
2254,Ġenjoy,0.1925,content
2316,Ġintelligence,0.1524,content
2384,Ġtelevision,0.2174,content
2437,Ġaudience,0.1758,content
2679,Ġinteresting,0.1603,content
3049,ĠHollywood,0.2028,content
3528,Ġartists,0.1529,content
3571,Ġexciting,0.1593,content
3776,Ġenjoyed,0.1691,content
3920,ĠMusic,0.2006,content
4000,Ġentertainment,1.0,content
4042,Ġemployment,0.1657,content
4106,Ġcultural,0.1577,content
4133,Ġmovies,0.2073,content
4149,Ġdrama,0.1524,content
4264,Ġtransportation,0.1689,content
4388,Ġmusical,0.2021,content
4579,Ġadvertising,0.1913,content
4672,ĠDisney,0.1503,content
4789,ĠEnter,0.187,content
4808,Ġluxury,0.1521,content
4850,Ġconsumption,0.1563,content
5230,Ġstreaming,0.1915,content
5313,Ġcomedy,0.2802,content
5444,Ġarts,0.2122,content
5528,ĠEntertainment,0.5993,content
5704,Ġfitness,0.1595,content
5724,Ġtourism,0.1818,content
5984,Ġeducational,0.2138,content
6086,Ġaudio,0.1751,content
6218,Ġenjoying,0.1773,content
6548,Ġgaming,0.2697,content
6794,Ġcelebrity,0.1902,content
7125,Ġinspiration,0.168,content
7364,Ġtheater,0.2059,content
7530,Ġaddiction,0.1518,content
7603,Ġviewing,0.1646,content
7824,Ġdining,0.175,content
8354,Ġexcitement,0.1992,content
8844,Ġcelebrities,0.194,content
8870,Ġtheatre,0.2066,content
8884,Ġmusicians,0.1681,content
9613,Ġmusician,0.16,content
9687,Ġrecreational,0.2182,content
9733,Ġadventure,0.1768,content
10300,Ġperformers,0.1832,content
10483,Ġpleasure,0.1914,content
10688,Ġcomedian,0.171,content
11008,Ġgambling,0.1553,content
11110,Ġentertaining,0.4505,content
11140,Ġcreativity,0.1538,content
11327,Ġtheaters,0.1534,content
11419,Ġartistic,0.2016,content
11605,Ġcinema,0.2229,content
11845,Ġfiction,0.1567,content
12043,Ġentertain,0.5287,content
12525,Ġbeverage,0.202,content
12576,Ġperformer,0.169,content
12691,Ġammunition,0.1503,content
12858,Ġconcerts,0.1746,content
13003,Ġattraction,0.1625,content
13779,Ġhospitality,0.2247,content
14126,Ġnightclub,0.1577,content
14579,Ġrecreation,0.2503,content
14710,Ġapparel,0.1589,content
14967,Ġsnacks,0.1525,content
15778,Ġmultimedia,0.1902,content
15972,Ġfestivities,0.1732,content
16013,ĠEnjoy,0.1683,content
16530,Ġattractions,0.1938,content
16687,Ġbroadcasting,0.1628,content
16906,Ġleisure,0.2306,content
17123,ĠComedy,0.1639,content
17205,Ġliterary,0.1589,content
17338,Ġaesthetic,0.1535,content
17662,Ġstorytelling,0.1807,content
18260,Ġenjoyable,0.2386,content
18535,Ġcinem,0.1627,content
18572,Ġindie,0.1581,content
19269,Ġanimation,0.1628,content
20141,Ġcatering,0.1589,content
20286,Ġspectacle,0.1794,content
20720,Ġtheatrical,0.1755,content
21039,Ġhobby,0.1517,content
21396,Ġtheat,0.1573,content
23801,ertain,0.2325,content
23979,Ġentertained,0.411,content
26611,Ġenjoyment,0.3,content
28445,Ġamusement,0.4135,content
29045,Ġcomedic,0.1814,content
29815,Ġdecorative,0.1546,content
30016,Ġtv,0.1635,content
30078,Enter,0.2332,content
31236,Ġamusing,0.1981,content
33638,Ġarcade,0.1576,content
36530,Ġamused,0.1609,content
37924,ĠENTER,0.2982,content
42619,Ġillumination,0.1563,content
43427,tainment,0.3023,content
45141,Ġamuse,0.2629,content
45536,Ġentert,0.3578,content
11,Ġin,,connector
23,Ġat,,connector
34,Ġhas,,connector
47,Ġyou,,connector
57,Ġbeen,,connector
67,Ġalso,,connector
83,ĠA,,connector
95,Ġjust,,connector
110,Ġyour,,connector
127,Ġmy,,connector
147,Ġwhere,,connector
166,ĠWe,,connector
190,Ġeven,,connector
220,Ġnext,,connector
260,an,,connector
345,ĠThere,,connector
392,ĠMay,,connector
424,am,,connector
497,ĠAt,,connector
572,ĠAfter,,connector
627,the,,connector
687,us,,connector
870,ĠBy,,connector
1025,Ġinside,,connector
1213,They,,connector
1398,ĠHere,,connector
1529,off,,connector
1648,ĠEven,,connector
1740,ĠFrom,,connector
1889,AN,,connector
2115,Ġupon,,connector
2276,ĠMeanwhile,,connector
2444,IN,,connector
2612,ĠWhy,,connector
2765,By,,connector
3105,ĠUp,,connector
3394,ĠWho,,connector
3779,ĠIT,,connector
4041,ĠOnly,,connector
4665,ĠSecond,,connector
5016,do,,connector
5570,ĠUP,,connector
5975,Now,,connector
6294,ever,,connector
6612,Ġtill,,connector
7025,IF,,connector
7574,ĠAgain,,connector
8127,ĠNOT,,connector
8374,ĠBeing,,connector
8987,just,,connector
9221,ĠNearly,,connector
9752,ĠRather,,connector
10105,Because,,connector
10462,However,,connector
10786,ĠBY,,connector
11195,Those,,connector
11999,ĠWhatever,,connector
12473,into,,connector
12963,even,,connector
13437,because,,connector
13841,Where,,connector
14279,ĠNOW,,connector
14947,ĠAlways,,connector
16417,ĠMine,,connector
17273,ĠUnless,,connector
17485,Will,,connector
18401,though,,connector
19726,also,,connector
20693,ĠInto,,connector
21688,ĠYOUR,,connector
22985,Off,,connector
24394,ĠTHAT,,connector
25216,Whatever,,connector
26692,does,,connector
27331,Such,,connector
28842,ĠTHERE,,connector
29902,these,,connector
31133,Still,,connector
32136,Almost,,connector
32803,ĠLAST,,connector
34378,often,,connector
35301,outside,,connector
35703,Finally,,connector
36615,inside,,connector
37350,ĠHIS,,connector
38374,ĠSHE,,connector
39789,ĠVERY,,connector
41033,Must,,connector
42282,Past,,connector
43681,Ġfurthermore,,connector
44471,ĠTHEM,,connector
46298,WHERE,,connector
22,"Ġ""",0.0342,residual
46,Ŀ,0.0755,residual
73,/,0.0279,residual
93,ĠâĢĶ,0.029,residual
111,Ġ-,0.0306,residual
126,ĠâĢĵ,0.0221,residual
139,o,0.0509,residual
155,Ġ3,0.0315,residual
168,Ġgovernment,0.1076,residual
180,year,0.1187,residual
191,Ġseason,0.0444,residual
204,Ġ4,0.0438,residual
213,Ġgo,0.0565,residual
225,en,0.07,residual
234,ĠN,0.0256,residual
242,e,0.0402,residual
253,Ġend,0.0743,residual
266,Ġreport,0.0636,residual
274,ĠF,0.0343,residual
284,Ġfamily,0.0941,residual
294,ĠTuesday,0.0299,residual
302,ĠMonday,0.0414,residual
310,Ġplay,0.1142,residual
319,Ġlot,0.0581,residual
327,Ġshares,0.0452,residual
335,Ġinformation,0.1478,residual
343,Ġcity,0.0802,residual
353,Ġmonth,0.0599,residual
362,Ġtook,0.0459,residual
372,Ġgreat,0.053,residual
383,Ġthings,0.0712,residual
391,ĠSouth,0.0312,residual
402,Ġsomething,0.0687,residual
412,ĠCity,0.0473,residual
425,Ġprice,0.087,residual
436,ĠChina,0.0508,residual
445,Ġstatement,0.0557,residual
453,Ġmembers,0.0506,residual
465,Ġfind,0.0643,residual
475,Ġm,0.0246,residual
483,Ġlead,0.0535,residual
491,ĠNews,0.0538,residual
500,R,0.0526,residual
508,Ġ13,0.042,residual
516,Ġline,0.0453,residual
526,Ġside,0.0433,residual
535,Ġcontinue,0.0572,residual
544,Ġservice,0.1037,residual
554,Ġstarted,0.0463,residual
564,Ġ25,0.0348,residual
574,L,0.0478,residual
584,Ġsaying,0.0761,residual
593,Ġclose,0.0453,residual
604,Ġmen,0.0713,residual
612,00,0.0678,residual
622,ĠFacebook,0.0462,residual
633,Ġjob,0.0564,residual
643,Ġothers,0.037,residual
652,Ġface,0.0527,residual
664,Ġyoung,0.0718,residual
672,Ġlevel,0.0384,residual
680,Ġinclude,0.0593,residual
690,Ġreports,0.062,residual
698,10,0.0343,residual
707,Ġseven,0.0538,residual
716,Ġbased,0.0471,residual
724,Ġgoal,0.0356,residual
732,ĠCh,0.0383,residual
740,Ġc,0.0342,residual
749,Ġcountries,0.0708,residual
759,ĠNovember,0.052,residual
767,ĠAccording,0.0707,residual
775,Ġresults,0.0516,residual
784,Ġl,0.0427,residual
792,Ġboard,0.0741,residual
800,Ġrelease,0.0715,residual
809,Ġbody,0.0608,residual
817,Ġmakes,0.0423,residual
828,Ġbit,0.0228,residual
837,ĠCourt,0.0361,residual
845,""".",0.0543,residual
853,ir,0.0319,residual
861,ĠPark,0.0349,residual
872,Ġloss,0.0479,residual
881,Ġsingle,0.0557,residual
889,Ġlist,0.0484,residual
898,Ġresult,0.0635,residual
907,Ġbuy,0.1274,residual
916,Ġcustomers,0.0708,residual
924,Ġshows,0.1012,residual
933,Ġfirm,0.0543,residual
942,Ġadministration,0.1,residual
950,Ġclub,0.0617,residual
958,time,0.056,residual
967,ik,0.0473,residual
976,Ġregion,0.0336,residual
985,Ġmother,0.0639,residual
993,ĠSome,0.051,residual
1002,Ġtarget,0.0494,residual
1010,Ġsoon,0.0505,residual
1019,Ġconference,0.0892,residual
1028,Ġphone,0.0616,residual
1036,Ġofficer,0.0679,residual
1045,Ġcreate,0.0589,residual
1053,ĠDay,0.0331,residual
1063,ĠLe,0.0312,residual
1072,Ġwants,0.0744,residual
1080,ĠCouncil,0.0316,residual
1088,Ġsold,0.0462,residual
1096,50,0.0483,residual
1105,Ġ31,0.0461,residual
1114,Ġidea,0.0736,residual
1124,Ġvictory,0.0734,residual
1134,Ġgroups,0.0464,residual
1142,Ġquestions,0.0668,residual
1150,Ġfather,0.0573,residual
1158,Ġstarting,0.0534,residual
1166,Ġread,0.0436,residual
1174,âĢ¦,0.0358,residual
1182,ut,0.0503,residual
1192,Ġque,0.0547,residual
1201,ĠReuters,0.0842,residual
1209,ĠQ,0.0201,residual
1219,Ġreason,0.0804,residual
1227,Ġready,0.0492,residual
